ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
38,gemini-1.5-flash,2024-September-02 10:48:47,2024-September-02 10:48:51,0.759540319,2.802173376,3.561714411,5,563,67,1.148352623,100.00%,FALSE
39,gemini-1.5-flash,2024-September-02 10:48:56,2024-September-02 10:48:59,0.572449446,2.841339827,3.413790226,5,563,67,1.054676771,100.00%,FALSE
40,gemini-1.5-flash,2024-September-02 10:49:04,2024-September-02 10:49:07,0.819063664,2.736809492,3.555874348,5,563,77,1.182770967,100.00%,FALSE
41,gpt-3.5-turbo,2024-September-02 10:50:18,2024-September-02 10:50:25,4.074433327,2.934376717,7.008811712,10,565,117,1.262898207,100.00%,FALSE
42,gpt-3.5-turbo,2024-September-02 10:50:30,2024-September-02 10:50:35,1.434451818,2.928407192,4.362860203,10,565,117,1.045624256,100.00%,FALSE
43,gpt-3.5-turbo,2024-September-02 10:50:39,2024-September-02 10:50:44,1.62304616,2.989465714,4.612512589,10,565,117,1.137592077,100.00%,FALSE
44,gpt-3.5-turbo,2024-September-02 10:50:48,2024-September-02 10:50:53,1.419809103,2.656219721,4.076030493,10,565,117,1.075845718,100.00%,FALSE
45,mistral-small,2024-September-02 10:51:05,2024-September-02 10:51:09,1.292928696,2.785536289,4.078465939,10,565,103,1.201117754,100.00%,FALSE
46,mistral-small,2024-September-02 10:51:14,2024-September-02 10:51:18,1.144737244,3.19830513,4.343043327,10,565,103,1.16499877,100.00%,FALSE
47,gpt-3.5-turbo,2024-September-02 10:50:57,2024-September-02 10:51:21,21.46455121,2.58607769,24.05062962,10,565,116,1.136999369,100.00%,FALSE
48,mistral-small,2024-September-02 10:51:23,2024-September-02 10:51:27,1.165319443,2.618398905,3.783720016,10,565,103,1.203149319,100.00%,FALSE
