ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
22,mistral-small,advancements,2024-September-02 18:08:42,2024-September-02 18:08:50,1.883840322,2.744103432,4.627944708,5,625,498,2.391305923,100.0%,false,None,
22,gpt-4,advancements,2024-September-02 18:08:43,2024-September-02 18:08:56,7.37422657,2.722132444,10.096360207,5,625,529,2.469167709,100.0%,false,None,
23,mistral-small,advancements,2024-September-02 18:08:52,2024-September-02 18:09:01,2.055446863,2.784515858,4.839963436,5,625,582,2.513766766,100.0%,false,None,
23,gpt-4,advancements,2024-September-02 18:08:59,2024-September-02 18:09:10,5.293109417,3.002845287,8.295955896,5,625,486,2.233314276,100.0%,false,None,
24,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:09:58,2024-September-02 18:10:05,1.009295464,3.065576792,4.074873209,5,530,299,2.895742655,100.0%,false,None,
25,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:08,2024-September-02 18:10:16,1.045552969,2.743003368,3.788557053,5,530,375,2.884331226,100.0%,false,None,
26,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:19,2024-September-02 18:10:27,0.99548316,2.83250165,3.82798624,5,530,380,2.923287153,100.0%,false,None,
27,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:29,2024-September-02 18:10:37,1.081025124,2.794312239,3.87533927,5,530,295,2.867600679,100.0%,false,None,
28,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:40,2024-September-02 18:10:47,1.02177906,2.70011735,3.721897125,5,530,362,2.927784443,100.0%,false,None,
29,gemini-1.5-flash,advancements,2024-September-02 18:11:12,2024-September-02 18:11:20,1.982628822,2.839323044,4.82195282,5,625,991,2.290873051,100.0%,false,None,
30,gemini-1.5-flash,advancements,2024-September-02 18:11:23,2024-September-02 18:11:31,1.983680487,2.695089817,4.678771257,5,625,1009,2.334340096,100.0%,false,None,
31,gemini-1.5-flash,advancements,2024-September-02 18:11:34,2024-September-02 18:11:41,1.439305067,2.725483894,4.164789915,5,625,760,2.289141178,100.0%,false,None,
