ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
113,gpt-3.5-turbo,2024-September-02 12:01:05,2024-September-02 12:01:13,0,0,0,20,0,0,0,1.209014893,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
114,gpt-3.5-turbo,2024-September-02 12:01:18,2024-September-02 12:01:27,6.425796032,2.935023069,9.36082077,50,570,548,0,1.269002676,100.0%,false,None,
115,gpt-3.5-turbo,2024-September-02 12:01:32,2024-September-02 12:01:42,6.992106199,2.831135035,9.823242664,50,570,560,0,1.353433132,100.0%,false,None,
116,gpt-3.5-turbo,2024-September-02 12:01:47,2024-September-02 12:01:53,0,0,0,50,0,0,0,1.176377296,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
117,gpt-3.5-turbo,2024-September-02 12:01:58,2024-September-02 12:02:07,6.423811197,2.97642827,9.40024066,50,570,544,0,1.252138615,100.0%,false,None,
118,gpt-3.5-turbo,2024-September-02 12:02:12,2024-September-02 12:02:19,4.627145529,2.825015068,7.452161789,50,570,550,0,1.156908751,100.0%,false,None,
119,gpt-3.5-turbo,2024-September-02 12:02:24,2024-September-02 12:02:54,26.489909172,2.980897427,29.470808029,50,570,513,0,1.301800728,100.0%,false,None,
120,gpt-3.5-turbo,2024-September-02 12:02:59,2024-September-02 12:03:04,0,0,0,50,0,0,0,1.124008894,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
121,gpt-3.5-turbo,2024-September-02 12:03:09,2024-September-02 12:03:14,0,0,0,50,0,0,0,1.277195692,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
122,gpt-3.5-turbo,2024-September-02 12:03:19,2024-September-02 12:03:44,0,0,0,50,0,0,0,1.178900003,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
123,gpt-4,2024-September-02 12:04:22,2024-September-02 12:04:40,15.066751242,3.023771524,18.090524197,50,570,415,0,1.249150038,100.0%,false,None,
124,gpt-4,2024-September-02 12:04:45,2024-September-02 12:05:08,20.240315199,3.055686235,23.296002626,50,570,559,0,1.166504622,100.0%,false,None,
125,gpt-4,2024-September-02 12:05:13,2024-September-02 12:05:37,20.828027964,2.899897099,23.727925777,50,570,534,0,1.160981894,100.0%,false,None,
126,gpt-4,2024-September-02 12:05:42,2024-September-02 12:06:02,17.607175589,2.935443163,20.542619944,50,570,536,0,1.193091154,100.0%,false,None,
127,gpt-4,2024-September-02 12:06:07,2024-September-02 12:06:26,16.385911226,2.868167877,19.254080057,50,570,505,0,1.081580162,100.0%,false,None,
128,gpt-4,2024-September-02 12:06:32,2024-September-02 12:06:53,18.787178993,2.806709766,21.593889713,50,570,525,0,1.32173562,100.0%,false,None,
129,gpt-4,2024-September-02 12:06:58,2024-September-02 12:07:20,18.169884682,2.966719627,21.136605263,50,570,518,0,1.289220095,100.0%,false,None,
130,gpt-4,2024-September-02 12:07:25,2024-September-02 12:07:47,19.52279067,2.902113914,22.424905777,50,570,558,0,1.231507778,100.0%,false,None,
131,gpt-4,2024-September-02 12:07:52,2024-September-02 12:08:13,17.77024436,3.013198614,20.783444166,50,570,500,0,1.290484905,100.0%,false,None,
