ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS
21,mistral-small,hyperloop_specifications,2024-September-02 18:07:45,2024-September-02 18:07:53,1.502322674,2.811658621,4.313982487,5,530,251,2.676488876,100.00%
22,gpt-4,advancements,2024-September-02 18:07:43,2024-September-02 18:08:00,11.16826701,2.945317268,14.113585,5,625,877,2.766726255,100.00%
23,gpt-4,advancements,2024-September-02 18:08:03,2024-September-02 18:08:18,8.440315247,2.8271451,11.26746178,5,625,727,2.369064808,100.00%
24,mistral-small,advancements,2024-September-02 18:08:14,2024-September-02 18:08:22,2.101674318,2.802769661,4.904445171,5,625,546,2.127417803,100.00%
25,mistral-small,advancements,2024-September-02 18:08:24,2024-September-02 18:08:33,2.319417,2.927010536,5.24642849,5,625,696,2.253893375,100.00%
26,mistral-small,advancements,2024-September-02 18:08:35,2024-September-02 18:08:39,0,0,0,0,0,0,2.289398193,0
27,gpt-4,advancements,2024-September-02 18:08:21,2024-September-02 18:08:40,13.45484781,2.951957226,16.40680647,5,625,924,2.241665363,100.00%
28,mistral-small,advancements,2024-September-02 18:08:42,2024-September-02 18:08:50,1.883840322,2.744103432,4.627944708,5,625,498,2.391305923,100.00%
29,gpt-4,advancements,2024-September-02 18:08:43,2024-September-02 18:08:56,7.37422657,2.722132444,10.09636021,5,625,529,2.469167709,100.00%
30,mistral-small,advancements,2024-September-02 18:08:52,2024-September-02 18:09:01,2.055446863,2.784515858,4.839963436,5,625,582,2.513766766,100.00%
31,gpt-4,advancements,2024-September-02 18:08:59,2024-September-02 18:09:10,5.293109417,3.002845287,8.295955896,5,625,486,2.233314276,100.00%
32,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:09:58,2024-September-02 18:10:05,1.009295464,3.065576792,4.074873209,5,530,299,2.895742655,100.00%
33,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:08,2024-September-02 18:10:16,1.045552969,2.743003368,3.788557053,5,530,375,2.884331226,100.00%
34,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:19,2024-September-02 18:10:27,0.99548316,2.83250165,3.82798624,5,530,380,2.923287153,100.00%
35,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:29,2024-September-02 18:10:37,1.081025124,2.794312239,3.87533927,5,530,295,2.867600679,100.00%
36,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:10:40,2024-September-02 18:10:47,1.02177906,2.70011735,3.721897125,5,530,362,2.927784443,100.00%
37,gemini-1.5-flash,advancements,2024-September-02 18:11:12,2024-September-02 18:11:20,1.982628822,2.839323044,4.82195282,5,625,991,2.290873051,100.00%
38,gemini-1.5-flash,advancements,2024-September-02 18:11:23,2024-September-02 18:11:31,1.983680487,2.695089817,4.678771257,5,625,1009,2.334340096,100.00%
39,gemini-1.5-flash,advancements,2024-September-02 18:11:34,2024-September-02 18:11:41,1.439305067,2.725483894,4.164789915,5,625,760,2.289141178,100.00%
40,gemini-1.5-flash,advancements,2024-September-02 18:11:44,2024-September-02 18:11:51,1.496084929,2.649320364,4.145406485,5,625,656,2.315642118,100.00%
